# of lines read,Execution time w/o tests,Execution time w/ tests
100,0.003315256999999905,0.0035049100000000832
1000,0.028694023000000013,0.035148650000000004
2000,0.058335024999999874,0.06696164000000016
3000,0.08553293500000003,0.10198535299999989
4000,0.11948122100000003,0.13585786199999994
5000,0.14811015400000005,0.16699573200000017
6000,0.22591258099999978,0.21904797799999987
7000,0.2082167639999999,0.2597210649999999
8000,0.24553892499999996,0.717257826
9000,0.5601655289999998,0.3502790229999997
10000,0.3473599319999998,0.3712861590000003
